ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DEU,Germany,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),352269.15625,386605.9375,427334.59375,466872.71875,506056.125,574925.5625,619402.75,655268.5625,684129.9375,742619.4375,815103,850361.375,885392.3125,904435.0625,972129.3125,1020605.25,1050863.25,1045258.0625,1105341.125,1192149.875,1271643.25,1318939,1384776.375,1455366.625,1457745.875,1466341.125,1542819.5,1600806.125,1669047.5,1735964,1736296.875,1676249.75,1643902.125,1651924.5,1662089.875,1672687.25,1788948.125,1856395.625,1955972.75,2055192.75,2204488.5,2341495.25,2434018.75,2448337.5,2548591.75,2633828.75,2666704.25,2772802.25,2898376,3013046.25,3030253,3063525.5,3037455.75,3049400.75,3112337.5,3139704,3276067.25,3436286.25,3500104.25,3354149.5,3531823.75,3695614.5,3725440.5,3710598.75,3812503.25,3915258.25,4039048.75,4237502.5,4275108.5,4308861.5
DEU,Germany,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),359301.8125,397637.375,434206.21875,471546.1875,512388.25,583818.125,629113.75,664996.8125,687191,745472.125,816785.8125,849921.375,881025.5,901191.375,968410.125,1017249.25,1045583.8125,1037976.5625,1098684,1181869.75,1239866.625,1278896.625,1340240.125,1414862.375,1438005.125,1437515.25,1515613.25,1572340.125,1626621.75,1701693.625,1725220,1689161.375,1650756.875,1650723.375,1666047.875,1668138.75,1800300,1879877.625,1979925.375,2064584.25,2221450.25,2344616.25,2428830,2454800,2551067,2642739.75,2678939.75,2767329.5,2862586,2978213,3035471.75,3076616,3065723,3140563.5,3231047.25,3391866.5,3470312,3665398.5,3750630.75,3498118,3672402,3861188.25,3830993.25,3839727.75,3973957.75,3931076.75,4048522.75,4236518.5,4263030.5,4275312
ESP,Spain,pop,Population (in millions),28.0689849732929,28.3040817940615,28.5559955006638,28.8103091666966,29.0666488716125,29.3250356007485,29.5854884316835,29.848016903207,30.1126477239294,30.379394248156,30.6477623665924,30.9105254923368,31.1647456782327,31.4365782850042,31.7476725492301,32.0913951967136,32.4589400170169,32.8573218359156,33.2464319514505,33.5732881113949,33.883749,34.267466,34.664234,35.069431,35.476423,35.879209,36.276752,36.666767,37.040396,37.38681,37.698196,37.971972,38.209693,38.413317,38.586708,38.733876,38.855626,38.954497,39.038692,39.118561,39.202525,39.299081,39.410857,39.533725,39.660069,39.787419,39.908959,40.035293,40.20156,40.45447,40.824754,41.319427,41.919585,42.596453,43.308345,44.019123,44.728565,45.429076,46.068811,46.583565,46.931015,47.08424,47.06306,46.930555,46.777925,46.671926,46.63414,46.647428,46.692858,46.736776
ESP,Spain,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),107712.7734375,125744.8671875,131262.1875,126423.75,142991.28125,150494.734375,161719.84375,169285.71875,176618.671875,172686.734375,191600.640625,213251.21875,234037.21875,256582.6875,270125.3125,285650.71875,309556.625,327466.6875,350456.5,383831.75,400293.65625,421274.90625,457763.8125,492375.84375,504531,511491.25,536352.9375,559331.0625,582799.8125,593825.75,602525.8125,565128.0625,549339.4375,534813.3125,528418.8125,525050.875,562181.3125,605044.625,650909.4375,697466.75,743109,780749.5625,804328.6875,803870.4375,838909.375,886382.6875,918279.0625,987392.375,1068754.5,1112636.5,1169120.625,1209440.75,1256686.5,1286783.375,1352148,1442448.625,1591544.375,1710028.75,1737033.875,1679792.875,1660598.375,1648634,1627157.25,1606687.625,1609758.125,1705106.375,1779649,1853309.375,1898860.625,1932678.625
ESP,Spain,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),108286.5390625,127579.4453125,133807.109375,128874.875,145643.015625,153548.828125,164795.96875,171876.03125,179108.203125,174970.328125,195168.234375,218095.046875,239322.1875,262195.5,275742.875,291361.90625,313410.5625,328975.125,351810.46875,384544.3125,400203.59375,419289.25,453695.125,487830.8125,511476.875,514225.46875,538079.125,561171.4375,577867.125,585078.9375,606797.5,576843.875,558108.8125,546578.0625,537538.125,530387.4375,564509.0625,605318.75,648282.0625,690651,728396.125,762168.75,781061.75,791382.6875,825072.6875,868225.625,899520.0625,969856.625,1035463.875,1080920.5,1151572.75,1185868.75,1226799.625,1244541.375,1289801.625,1427946.25,1557340.625,1660385.5,1687736.75,1628010.25,1622292.375,1614883.5,1603927.75,1574605.5,1578475.5,1669676.25,1738080.25,1815914.875,1849504.75,1886595.25
EST,Estonia,pop,Population (in millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565246,1.548219,1.520813,1.488061,1.457093,1.433024,1.417736,1.409673,1.406349,1.403789,1.399112,1.39173,1.382732,1.372909,1.363565,1.355648,1.349363,1.344296,1.340073,1.336135,1.332101,1.327709,1.323159,1.319062,1.316277,1.315325,1.31651,1.31939,1.32292,1.325648
EST,Estonia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17759.97265625,18700.0703125,14564.0244140625,13975.505859375,13507.5673828125,14938.77734375,15713.5908203125,16534.240234375,16816.333984375,16735.62890625,18232.93359375,19109.80859375,20424.015625,22031.78515625,23785.50390625,26868.25,30189.552734375,34363.37890625,34698.3125,31391.69921875,33060.0703125,36962.33984375,38654.671875,39013.62109375,40133.91796875,40839.21484375,42521.7890625,45160.5546875,47044.890625,49209.03125
EST,Estonia,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19404.123046875,19549.029296875,15346.1396484375,14608.9482421875,14098.3779296875,15416.9990234375,16587.37890625,16856.13671875,16649.70703125,16470.48046875,18203.150390625,19155.50390625,20390.423828125,21755.271484375,22754.521484375,27508.767578125,29743.650390625,33259.4765625,33808.23046875,30109.826171875,31773.455078125,35455.7734375,37414.0078125,37724.66796875,38474.625,37508.921875,38599.81640625,40876.81640625,42704.83203125,44876.34765625
FIN,Finland,pop,Population (in millions),4.01417332837253,4.05262353429945,4.09588037406552,4.14484482294186,4.19240743642019,4.24047043256103,4.28733212834036,4.32968751537092,4.36553458553833,4.4004806804346,4.43542629786651,4.46687162398275,4.49735103967319,4.5292590287665,4.55452692082981,4.56973511602644,4.58689470811395,4.61180211457594,4.6325546260674,4.62986697911394,4.612366,4.62938,4.651172,4.675456,4.698779,4.718749,4.734437,4.746932,4.758252,4.771345,4.788243,4.809813,4.8351,4.862178,4.888204,4.91122,4.930341,4.946373,4.961087,4.977115,4.996222,5.019125,5.044925,5.071789,5.097097,5.119005,5.136979,5.151746,5.164242,5.175926,5.187954,5.200477,5.213366,5.227093,5.24217,5.258927,5.277491,5.297739,5.319449,5.342262,5.365782,5.390038,5.41477,5.438982,5.461411,5.481122,5.497713,5.511371,5.522576,5.532156
FIN,Finland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),25811.234375,30727.287109375,31086.166015625,29932.150390625,33530.6875,36779.15625,37466.3359375,37273.125,37247.94140625,40121.19921875,44339.13671875,48878.30859375,49731.16015625,50848.4296875,53458.6015625,57136.0546875,58690.94921875,59971.98828125,62487.99609375,69175.984375,74985.53125,76177.3671875,81026.4453125,87140.4375,89771.9921875,89230.296875,89175.8359375,88149.59375,89843.6953125,97698.875,101768.21875,101656.09375,103272.5078125,104635.234375,107528.46875,108965.484375,113669.890625,118865.3046875,128560.0703125,136714.703125,136194.359375,123944.6640625,119028.96875,117687.1328125,125439.453125,137240.921875,139449.828125,154077.140625,169268.375,177246.421875,186055.46875,186969.140625,185306.3125,185790.8125,195382.90625,202128.703125,211385.734375,230932.015625,241510.046875,228332.296875,234672.078125,243427.859375,240563.078125,235942.046875,232326.765625,237412.921875,245351.484375,253666.09375,258308.609375,261017.34375
